Perovskite_composition_long_form,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Encapsulation,TS80,TS80m,lnTS80m
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF,1,100,80,FALSE,2637.35,2256.230131,7.721450616
(CH3NH3)PbI3,DMF; DMSO,9; 1,65; 135,1.0; 3.0,FALSE,151.381,25.83967198,3.251910984
(CH3NH3)PbI3,DMF >> IPA,1 >> 1,Unknown >> 90.0,Unknown >> 8.0,FALSE,2610.21,445.5444883,6.099297103
Cs0.06((NH2)2CH)0.79(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,60,FALSE,2035.98,1042.582398,6.94945599
Cs0.06((NH2)2CH)0.79(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,60,FALSE,2163.82,1108.046565,7.010353893
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,9; 1,100,60,FALSE,558.475,142.9916318,4.962786109
(CH3NH3)PbI3,Unknown,,Unknown,Unknown,FALSE,26.6889,9.111215032,2.209506076
(CH3NH3)PbI3,Unknown,,Unknown,Unknown,FALSE,865.521,295.4766943,5.688589965
CsPbBr2I,DMSO,1,30; 160,10.0; 10.0,FALSE,500.497,85.4313177,4.447712751
((NH2)2CH)0.85(CH3NH3)0.15PbI3,DMF; DMSO,4; 1,150,30,FALSE,44.6923,15.25732254,2.725059554
((NH2)2CH)0.85(CH3NH3)0.15PbI3,DMF; DMSO,4; 1,150,30,FALSE,1200,409.6631198,6.015335163
((NH2)2CH)0.85(CH3NH3)0.15PbI3,DMF; DMSO,4; 1,150,30,FALSE,4.8455,8.290566743,2.115118331
((NH2)2CH)0.85(CH3NH3)0.15PbI3,DMF; DMSO,4; 1,150,30,FALSE,24.2275,41.45283372,3.724556244
(CH3NH3)PbI3,DMF; DMSO >> IPA,17; 3 >> 1,Unknown >> 100.0,Unknown >> 60.0,FALSE,1.91298,0.702461855,-0.353164178
(CH3NH3)PbI3,DMF; DMSO >> IPA >> IPA,17; 3 >> 1 >> 1,Unknown >> 100.0 >> Unknown,Unknown >> 60.0 >> Unknown,FALSE,1.91298,0.702461855,-0.353164178
(CH3NH3)PbI3,DMF; DMSO,5; 1,100,15,FALSE,562.213,95.96580483,4.563991928
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,0.755167,0.646038842,-0.43689565
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,3.00644,2.571983436,0.944677366
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,975.103,332.8864476,5.807801434
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,2965.75,1012.465331,6.920143558
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,10,FALSE,4136.05,1411.989289,7.252754832
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,30,FALSE,4574.67,1561.727987,7.353548171
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,30,FALSE,3461.03,1181.546956,7.074579839
((NH2)2CH)0.85(CH3NH3)0.15PbBr0.45I2.55,DMF; DMSO,4; 1,100,30,FALSE,3461.03,1181.546956,7.074579839
(C4H9NH3)2(CH3NH3)3Pb4I13,DMF,1,60; 100,2.0; 3.0,FALSE,144.154,123.3225011,4.814802884
(C4H9NH3)2(CH3NH3)3Pb4I13,Dimethylacetamide,1,60; 100,2.0; 3.0,FALSE,453.1,387.623134,5.960033563
(C4H9NH3)2(CH3NH3)3Pb4I13,DMSO,1,60; 100,2.0; 3.0,FALSE,123.173,105.3734369,4.657510583
(CH3NH3)PbI3,DMSO; GBL,1; 1,100,10,FALSE,900,153.6236699,5.03450591
(CH3NH3)PbI3,DMF; DMSO,8.5; 1.5,100,10,FALSE,387.83,82.74981654,4.415821797
Cs0.1((NH2)2CH)0.9PbBr0.3I2.7,DMF; DMSO,4; 1,105,50,FALSE,1048.39,447.3819981,6.103412812
Cs0.1((NH2)2CH)0.9PbBr0.3I2.7,DMF; DMSO,4; 1,105,50,FALSE,6422.81,2740.821232,7.916012874
Cs0.1((NH2)2CH)0.9PbBr0.3I2.7,DMF; DMSO,4; 1,105,50,FALSE,3845.59,1641.037913,7.403084195
(CH3NH3)PbI3,DMF >> Ethanol,1 >> 1,80.0 >> 100.0,10.0 >> 120.0,FALSE,1706.99,874.1135611,6.7732103
(CH3NH3)PbI3,DMF >> Ethanol,1 >> 1,80.0 >> 100.0,10.0 >> 120.0,FALSE,2505.51,1283.018804,7.156971021
(CH3NH3)PbI3,DMF >> Ethanol,1 >> 1,80.0 >> 100.0,10.0 >> 120.0,FALSE,2160,1106.090423,7.008586936
(CH3NH3)PbI3,DMF >> Ethanol,1 >> 1,80.0 >> 100.0,10.0 >> 120.0,FALSE,1208.04,618.6117941,6.427477926
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,62.5471,80.62611384,4.38982259
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,60.0597,77.41973984,4.349241785
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,acetonitrile; DMF; DMSO >> IPA,86; 700; 114 >> 1,Unknown,Unknown,FALSE,83.1881,142.3334012,4.958172201
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,acetonitrile; DMF; DMSO >> IPA,86; 700; 114 >> 1,Unknown,Unknown,FALSE,262.098,448.4451475,6.105786372
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,6.34554,2.166278094,0.773010531
(CH3NH3)PbI3,DMF; DMSO,9; 1,100,10,FALSE,79.6838,27.20292842,3.30332463
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO,9.5; 0.5 >> nan,Unknown >> 150,Unknown >> 15.0,FALSE,80.2852,13.70411896,2.617696442
((NH2)2CH)0.9(CH3NH3)0.1PbBr0.1I2.9,DMF; DMSO,9.5; 0.5 >> nan,Unknown >> 150,Unknown >> 15.0,FALSE,30,5.120788998,1.633308528
(CH3NH3)PbI3,DMF; DMSO,4; 1,60; 85,1.0; 25.0,FALSE,2610.21,891.0889766,6.792444284
(CH3NH3)PbI3,DMF; DMSO,4; 1,60; 85,1.0; 25.0,FALSE,2610.21,891.0889766,6.792444284
(CH3NH3)PbI3,DMF; DMSO,7; 3,100,25,FALSE,437.935,74.75242432,4.314181644
(CH3NH3)PbI3,DMF; DMSO,7; 3,100,25,FALSE,1482.53,253.0574438,5.533616513
(CH3NH3)PbI3,DMF; DMSO,7; 3,100,25,FALSE,150,128.3237036,4.854556006
(CH3NH3)PbI3,DMF; DMSO,7; 3,100,25,FALSE,500,427.7456786,6.05852881
(CH3NH3)PbI3,DMF; DMSO,7; 3,100,25,FALSE,100,85.54913572,4.449090898
(CH3NH3)PbI3,DMF; DMSO,7; 3,60; 100,5.0; 10.0,FALSE,720,276.5226059,5.622292575
CsPbBr3,DMF >> Methanol,1 >> 1,90.0 >> 250.0,60.0 >> 5.0,FALSE,4873.92,3743.747387,8.227842364
CsPbBr3,DMF >> Methanol,1 >> 1,90.0 >> 250.0,60.0 >> 5.0,FALSE,5247.61,34385.30481,10.44538457
Cs0.91Rb0.09PbBr3,DMF >> Methanol,1 >> 1,90.0 >> 250.0,60.0 >> 5.0,FALSE,4176.33,3207.915707,8.073376693
Cs0.91Rb0.09PbBr3,DMF >> Methanol,1 >> 1,90.0 >> 250.0,60.0 >> 5.0,FALSE,7032.94,46083.79541,10.73821666
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,4; 1,120,8,FALSE,201.205,94.44676544,4.548036347
Cs0.05((NH2)2CH)0.81(CH3NH3)0.14PbBr0.45I2.55,DMF; DMSO,4; 1,120,8,FALSE,10440.8,4900.970595,8.497188545
(CH3NH3)PbI3,DMF; DMSO,10; 1,100,3,FALSE,600,307.2473399,5.727653091
CsPbBrI2,DMF; DMSO,4; 1,120; 200,10.0; 2.0,FALSE,206.899,61.80335717,4.123957686
CsPbBrI2,DMF; DMSO,4; 1,120; 200,10.0; 2.0,FALSE,809.587,241.8339118,5.488251176
(CH3NH3)PbI3,DMF; DMSO,9; 1,65; 100,1.0; 2.0,FALSE,3132.25,534.6530446,6.281618022
(CH3NH3)PbI3,DMF; DMSO,9; 1,65; 100,1.0; 2.0,FALSE,720,122.8989359,4.811362359
CsPbBr3,DMSO,1,Unknown,30,FALSE,105.104,62.79179746,4.139824451
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,60,FALSE,289.735,111.275385,4.712008075
(CH3NH3)PbI3,DMF; DMSO,4; 1,100,60,FALSE,32.1928,278.0038498,5.627634962
((COOH(CH2)4NH3))0.075(CH3NH3)0.925PbI3,DMF; DMSO,4; 1,100,60,FALSE,1396.19,536.2195793,6.28454374
((COOH(CH2)4NH3))0.075(CH3NH3)0.925PbI3,DMF; DMSO,4; 1,100,60,FALSE,155.132,26.47994129,3.276387514
((COOH(CH2)4NH3))0.2(CH3NH3)0.8PbI3,DMF; DMSO,4; 1,100,60,FALSE,503.011,193.1859896,5.263653401
((COOH(CH2)4NH3))0.2(CH3NH3)0.8PbI3,DMF; DMSO,4; 1,100,60,FALSE,48.7058,420.6033619,6.041690256
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,40,FALSE,123.62,63.30319359,4.14793578
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,40,FALSE,384,196.6382975,5.281365988
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,40,FALSE,123.62,63.30319359,4.14793578
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,7; 3,Unknown,Unknown,FALSE,297.854,127.1039572,4.845005312
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,7; 3,Unknown,Unknown,FALSE,344.871,147.1676352,4.991572313
((NH2)3C)(CH3NH3)3Pb3I10,DMF; DMSO,1; 1,70,5,FALSE,2400,819.3262396,6.708482344
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,282.281,96.3667626,4.568161356
Cs0.05((NH2)2CH)0.79(CH3NH3)0.16PbBr0.51I2.49,DMF; DMSO,4; 1,100,60,FALSE,528.826,180.5337575,5.195917782
