Sample	
Comments	
Filename	C:\Windmax\Data\í©ì˙å§\ê[‡V\20230928\MAPbI3_010_9.raw
Goniometer	UltimaáV ≤›Ãﬂ⁄∞›(D/teX)
Attachment	îññåééóøë‰
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
±Ø√»∞¿	äJï˙
î≠éUΩÿØƒ	0.10mm
éUóêΩÿØƒ	äJï˙
éÛåıΩÿØƒ	äJï˙
î≠éUècêßå¿ΩÿØƒ	10mm
áAì¸éÀÉ\Å[ÉâÅ[	V5
áDéÛåıÉ\Å[ÉâÅ[âE	
áDéÛåıÉ\Å[ÉâÅ[ç∂	PB0.5
Start	5
Stop	45
Step	0.05
33.1	73.3333
33.15	73.3333
33.2	90
33.25	91.6667
33.3	71.6667
33.35	103.333
33.4	93.3333
33.45	76.6667
33.5	76.6667
33.55	80
33.6	78.3333
33.65	70
33.7	70
33.75	65
33.8	76.6667
33.85	70
33.9	81.6667
33.95	73.3333
34	81.6667
34.05	70
34.1	68.3333
34.15	83.3333
34.2	86.6667
34.25	91.6667
34.3	70
34.35	86.6667
34.4	71.6667
34.45	100
34.5	86.6667
34.55	98.3333
34.6	123.333
34.65	140
34.7	151.667
34.75	205
34.8	230
34.85	265
34.9	278.333
34.95	301.667
35	260
35.05	278.333
35.1	210
35.15	168.333
35.2	135
35.25	100
35.3	106.667
35.35	80
35.4	73.3333
35.45	86.6667
35.5	70
35.55	76.6667
35.6	80
35.65	85
35.7	60
35.75	81.6667
35.8	76.6667
35.85	95
35.9	60
35.95	80
36	73.3333
36.05	63.3333
36.1	48.3333
36.15	65
36.2	61.6667
36.25	61.6667
36.3	85
36.35	81.6667
36.4	75
36.45	83.3333
36.5	91.6667
36.55	71.6667
36.6	75
36.65	58.3333
36.7	65
36.75	86.6667
36.8	75
36.85	71.6667
36.9	68.3333
36.95	55
37	90
37.05	73.3333
37.1	83.3333
37.15	95
37.2	108.333
37.25	73.3333
37.3	93.3333
37.35	103.333
37.4	78.3333
37.45	78.3333
37.5	81.6667
37.55	78.3333
37.6	63.3333
37.65	65
37.7	68.3333
37.75	81.6667
37.8	61.6667
37.85	60
37.9	46.6667
37.95	60
38	76.6667
38.05	63.3333
38.1	65
38.15	88.3333
38.2	75
38.25	70
38.3	98.3333
38.35	90
38.4	78.3333
38.45	58.3333
38.5	63.3333
38.55	78.3333
38.6	78.3333
38.65	68.3333
38.7	96.6667
38.75	75
38.8	91.6667
38.85	58.3333
38.9	80
38.95	76.6667
39	81.6667
39.05	73.3333
39.1	68.3333
39.15	63.3333
39.2	73.3333
39.25	78.3333
39.3	90
39.35	91.6667
39.4	75
39.45	68.3333
39.5	71.6667
39.55	58.3333
39.6	70
39.65	81.6667
39.7	76.6667
39.75	83.3333
39.8	88.3333
39.85	118.333
39.9	91.6667
39.95	80
40	103.333
40.05	106.667
40.1	98.3333
40.15	145
40.2	168.333
40.25	273.333
40.3	300
40.35	416.667
40.4	578.333
40.45	583.333
