2theta (deg),intensity (cps)
30.6,116.667
30.65,105.0
30.7,138.333
30.75,143.333
30.8,160.0
30.85,186.667
30.9,170.0
30.95,185.0
31.0,206.667
31.05,183.333
31.1,131.667
31.15,106.667
31.2,130.0
31.25,140.0
31.3,151.667
31.35,161.667
31.4,221.667
31.45,268.333
31.5,401.667
31.55,516.667
31.6,610.0
31.65,828.333
31.7,965.0
31.75,1033.33
31.8,1166.67
31.85,1228.33
31.9,1146.67
31.95,1101.67
32.0,966.667
32.05,696.667
32.1,448.333
32.15,245.0
32.2,203.333
32.25,131.667
32.3,113.333
32.35,106.667
32.4,126.667
32.45,108.333
32.5,98.3333
32.55,78.3333
32.6,101.667
32.65,88.3333
32.7,80.0
32.75,93.3333
32.8,71.6667
32.85,80.0
32.9,78.3333
32.95,88.3333
33.0,73.3333
33.05,98.3333
33.1,73.3333
33.15,95.0
33.2,68.3333
33.25,88.3333
33.3,81.6667
33.35,73.3333
33.4,83.3333
33.45,61.6667
33.5,80.0
33.55,70.0
33.6,75.0
33.65,75.0
33.7,88.3333
33.75,96.6667
33.8,83.3333
33.85,60.0
33.9,98.3333
33.95,60.0
34.0,66.6667
34.05,75.0
34.1,58.3333
34.15,83.3333
34.2,65.0
34.25,65.0
34.3,88.3333
34.35,73.3333
34.4,96.6667
34.45,76.6667
34.5,91.6667
34.55,90.0
34.6,130.0
34.65,155.0
34.7,148.333
34.75,215.0
34.8,231.667
34.85,281.667
34.9,296.667
34.95,308.333
35.0,285.0
35.05,248.333
35.1,231.667
35.15,191.667
35.2,161.667
35.25,125.0
35.3,91.6667
35.35,65.0
35.4,83.3333
35.45,50.0
35.5,66.6667
35.55,68.3333
35.6,73.3333
35.65,93.3333
35.7,65.0
35.75,63.3333
35.8,81.6667
35.85,55.0
35.9,73.3333
35.95,66.6667
36.0,81.6667
36.05,101.667
36.1,70.0
36.15,63.3333
36.2,63.3333
36.25,70.0
36.3,73.3333
36.35,71.6667
36.4,70.0
36.45,60.0
36.5,75.0
36.55,65.0
36.6,65.0
36.65,68.3333
36.7,61.6667
36.75,61.6667
36.8,75.0
36.85,85.0
36.9,83.3333
36.95,76.6667
37.0,70.0
37.05,71.6667
37.1,78.3333
37.15,88.3333
37.2,108.333
37.25,75.0
37.3,110.0
37.35,80.0
37.4,83.3333
37.45,95.0
37.5,71.6667
37.55,56.6667
37.6,68.3333
37.65,78.3333
37.7,58.3333
37.75,68.3333
37.8,81.6667
37.85,80.0
37.9,61.6667
37.95,80.0
38.0,81.6667
38.05,73.3333
38.1,50.0
38.15,66.6667
38.2,53.3333
38.25,43.3333
38.3,68.3333
38.35,66.6667
38.4,76.6667
38.45,56.6667
38.5,68.3333
38.55,75.0
38.6,86.6667
38.65,81.6667
38.7,65.0
38.75,55.0
38.8,88.3333
38.85,58.3333
38.9,78.3333
38.95,73.3333
39.0,76.6667
39.05,55.0
39.1,75.0
39.15,65.0
39.2,78.3333
39.25,61.6667
39.3,65.0
39.35,83.3333
39.4,83.3333
39.45,81.6667
39.5,95.0
39.55,70.0
39.6,68.3333
39.65,66.6667
39.7,81.6667
39.75,70.0
39.8,90.0
39.85,80.0
39.9,86.6667
39.95,60.0
40.0,105.0
40.05,100.0
40.1,113.333
40.15,143.333
40.2,185.0
40.25,226.667
40.3,323.333
40.35,408.333
40.4,563.333
40.45,615.0
40.5,718.333
40.55,631.667
40.6,630.0
40.65,616.667
40.7,500.0
40.75,386.667
40.8,338.333
40.85,278.333
40.9,203.333
40.95,135.0
41.0,115.0
41.05,96.6667
41.1,85.0
41.15,113.333
41.2,71.6667
41.25,65.0
41.3,88.3333
41.35,100.0
41.4,83.3333
41.45,75.0
41.5,96.6667
41.55,63.3333
41.6,76.6667
41.65,91.6667
41.7,81.6667
41.75,85.0
41.8,98.3333
41.85,71.6667
41.9,78.3333
41.95,80.0
42.0,83.3333
42.05,70.0
42.1,91.6667
42.15,100.0
42.2,120.0
42.25,91.6667
42.3,136.667
42.35,138.333
42.4,116.667
42.45,170.0
42.5,191.667
42.55,218.333
42.6,220.0
42.65,230.0
42.7,275.0
42.75,198.333
42.8,233.333
42.85,296.667
42.9,341.667
42.95,465.0
43.0,601.667
43.05,586.667
43.1,673.333
43.15,671.667
43.2,573.333
43.25,503.333
43.3,430.0
43.35,281.667
43.4,218.333
43.45,156.667
43.5,161.667
43.55,105.0
43.6,98.3333
43.65,100.0
43.7,70.0
43.75,78.3333
